Model,MSE,R² Score
LinearRegression,11778.603437861779,0.000776965360726467
DecisionTreeRegressor,10468.863714955285,0.1118870903780439
RandomForestRegressor,11495.741761400675,0.02477318055106703
GradientBoostingRegressor,11865.921486973315,-0.0066305517080245124
SVR,12103.517751881378,-0.02678673253989139
